item_id,snapshot_date,precio,status
1,2020-12-27,423,inactive
2,2020-12-27,652,inactive
3,2020-12-27,484,active
4,2020-12-27,904,active
5,2020-12-27,244,inactive
6,2020-12-27,206,inactive
7,2020-12-27,266,active
8,2020-12-27,553,active
9,2020-12-27,742,active
10,2020-12-27,330,active
11,2020-12-27,767,active
12,2020-12-27,466,inactive
13,2020-12-27,939,inactive
14,2020-12-27,706,inactive
15,2020-12-27,588,inactive
16,2020-12-27,478,inactive
17,2020-12-27,733,inactive
18,2020-12-27,888,inactive
19,2020-12-27,122,inactive
20,2020-12-27,168,inactive
21,2020-12-27,910,active
22,2020-12-27,207,inactive
23,2020-12-27,464,active
24,2020-12-27,174,inactive
25,2020-12-27,856,inactive
26,2020-12-27,872,inactive
27,2020-12-27,981,active
28,2020-12-27,268,active
29,2020-12-27,306,inactive
30,2020-12-27,360,inactive
31,2020-12-27,273,active
32,2020-12-27,120,active
33,2020-12-27,967,inactive
34,2020-12-27,221,active
35,2020-12-27,893,inactive
36,2020-12-27,968,inactive
37,2020-12-27,352,inactive
38,2020-12-27,633,inactive
39,2020-12-27,958,active
40,2020-12-27,842,inactive
41,2020-12-27,801,active
42,2020-12-27,359,inactive
43,2020-12-27,284,active
44,2020-12-27,635,inactive
45,2020-12-27,314,active
46,2020-12-27,336,active
47,2020-12-27,978,active
48,2020-12-27,159,inactive
49,2020-12-27,768,active
50,2020-12-27,895,inactive
51,2020-12-27,698,active
52,2020-12-27,783,active
53,2020-12-27,699,inactive
54,2020-12-27,465,inactive
55,2020-12-27,765,active
56,2020-12-27,271,active
57,2020-12-27,657,active
58,2020-12-27,108,active
59,2020-12-27,761,inactive
60,2020-12-27,514,inactive
61,2020-12-27,323,inactive
62,2020-12-27,585,inactive
63,2020-12-27,354,inactive
64,2020-12-27,821,inactive
65,2020-12-27,148,active
66,2020-12-27,946,active
67,2020-12-27,1006,active
68,2020-12-27,792,active
69,2020-12-27,543,active
70,2020-12-27,476,inactive
71,2020-12-27,266,inactive
72,2020-12-27,321,active
73,2020-12-27,506,inactive
74,2020-12-27,256,inactive
75,2020-12-27,133,inactive
76,2020-12-27,860,active
77,2020-12-27,137,active
78,2020-12-27,942,inactive
79,2020-12-27,922,active
80,2020-12-27,687,inactive
81,2020-12-27,367,active
82,2020-12-27,378,active
83,2020-12-27,308,inactive
84,2020-12-27,874,inactive
85,2020-12-27,647,active
86,2020-12-27,955,active
87,2020-12-27,525,inactive
88,2020-12-27,945,inactive
89,2020-12-27,494,active
90,2020-12-27,162,inactive
91,2020-12-27,841,inactive
92,2020-12-27,590,active
93,2020-12-27,442,active
94,2020-12-27,271,active
95,2020-12-27,496,active
96,2020-12-27,558,active
97,2020-12-27,801,inactive
98,2020-12-27,103,inactive
99,2020-12-27,338,active
100,2020-12-27,938,active
101,2020-12-27,851,inactive
102,2020-12-27,594,inactive
103,2020-12-27,615,active
104,2020-12-27,238,inactive
105,2020-12-27,490,inactive
106,2020-12-27,600,inactive
107,2020-12-27,726,inactive
108,2020-12-27,524,active
109,2020-12-27,599,active
110,2020-12-27,833,active
111,2020-12-27,180,inactive
112,2020-12-27,645,inactive
113,2020-12-27,740,inactive
114,2020-12-27,889,inactive
115,2020-12-27,387,active
116,2020-12-27,909,active
117,2020-12-27,106,active
118,2020-12-27,599,active
119,2020-12-27,329,inactive
120,2020-12-27,391,active
121,2020-12-27,926,inactive
122,2020-12-27,440,inactive
123,2020-12-27,884,inactive
124,2020-12-27,391,active
125,2020-12-27,379,inactive
126,2020-12-27,620,active
127,2020-12-27,648,inactive
128,2020-12-27,772,active
129,2020-12-27,548,active
130,2020-12-27,722,inactive
131,2020-12-27,863,inactive
132,2020-12-27,414,inactive
133,2020-12-27,957,active
134,2020-12-27,583,inactive
135,2020-12-27,193,inactive
136,2020-12-27,155,active
137,2020-12-27,958,inactive
138,2020-12-27,834,active
139,2020-12-27,932,active
140,2020-12-27,616,active
141,2020-12-27,405,inactive
142,2020-12-27,513,inactive
143,2020-12-27,678,inactive
144,2020-12-27,720,inactive
145,2020-12-27,826,active
146,2020-12-27,410,inactive
147,2020-12-27,249,active
148,2020-12-27,559,inactive
149,2020-12-27,626,active
150,2020-12-27,292,inactive
151,2020-12-27,638,inactive
152,2020-12-27,816,active
153,2020-12-27,796,active
154,2020-12-27,799,inactive
155,2020-12-27,758,inactive
156,2020-12-27,719,inactive
157,2020-12-27,430,active
158,2020-12-27,421,active
159,2020-12-27,740,inactive
160,2020-12-27,863,inactive
161,2020-12-27,699,inactive
162,2020-12-27,197,inactive
163,2020-12-27,200,active
164,2020-12-27,505,inactive
165,2020-12-27,852,active
166,2020-12-27,279,active
167,2020-12-27,479,active
168,2020-12-27,687,inactive
169,2020-12-27,193,active
170,2020-12-27,150,active
171,2020-12-27,325,active
172,2020-12-27,611,inactive
173,2020-12-27,466,inactive
174,2020-12-27,674,active
175,2020-12-27,313,inactive
176,2020-12-27,946,active
177,2020-12-27,444,active
178,2020-12-27,973,inactive
179,2020-12-27,773,active
180,2020-12-27,571,inactive
181,2020-12-27,402,active
182,2020-12-27,963,inactive
183,2020-12-27,911,inactive
184,2020-12-27,775,active
185,2020-12-27,355,active
186,2020-12-27,435,inactive
187,2020-12-27,616,active
188,2020-12-27,957,inactive
189,2020-12-27,531,active
190,2020-12-27,539,active
191,2020-12-27,312,active
192,2020-12-27,675,inactive
193,2020-12-27,145,inactive
194,2020-12-27,247,inactive
195,2020-12-27,940,inactive
196,2020-12-27,777,active
197,2020-12-27,701,inactive
198,2020-12-27,593,inactive
199,2020-12-27,727,inactive
200,2020-12-27,454,active
201,2020-12-27,953,active
202,2020-12-27,1005,active
203,2020-12-27,326,active
204,2020-12-27,144,active
205,2020-12-27,685,active
206,2020-12-27,234,inactive
207,2020-12-27,673,active
208,2020-12-27,796,inactive
209,2020-12-27,720,active
210,2020-12-27,853,active
211,2020-12-27,562,active
212,2020-12-27,933,active
213,2020-12-27,921,active
214,2020-12-27,711,inactive
215,2020-12-27,201,active
216,2020-12-27,581,active
217,2020-12-27,824,inactive
218,2020-12-27,212,active
219,2020-12-27,675,inactive
220,2020-12-27,422,inactive
221,2020-12-27,893,active
222,2020-12-27,983,active
223,2020-12-27,224,inactive
224,2020-12-27,648,inactive
225,2020-12-27,585,inactive
226,2020-12-27,127,active
227,2020-12-27,195,inactive
228,2020-12-27,450,inactive
229,2020-12-27,599,inactive
230,2020-12-27,943,inactive
231,2020-12-27,988,active
232,2020-12-27,128,inactive
233,2020-12-27,488,inactive
234,2020-12-27,371,inactive
235,2020-12-27,291,active
236,2020-12-27,863,inactive
237,2020-12-27,590,inactive
238,2020-12-27,598,inactive
239,2020-12-27,891,inactive
240,2020-12-27,924,inactive
241,2020-12-27,621,inactive
242,2020-12-27,960,active
243,2020-12-27,631,active
244,2020-12-27,602,active
245,2020-12-27,257,inactive
246,2020-12-27,166,inactive
247,2020-12-27,540,active
248,2020-12-27,364,active
249,2020-12-27,996,inactive
250,2020-12-27,398,inactive
251,2020-12-27,598,inactive
252,2020-12-27,947,inactive
253,2020-12-27,611,inactive
254,2020-12-27,538,active
255,2020-12-27,106,active
256,2020-12-27,867,active
257,2020-12-27,742,inactive
258,2020-12-27,643,active
259,2020-12-27,862,inactive
260,2020-12-27,874,inactive
261,2020-12-27,908,inactive
262,2020-12-27,992,inactive
263,2020-12-27,1001,active
264,2020-12-27,976,active
265,2020-12-27,671,active
266,2020-12-27,775,active
267,2020-12-27,419,active
268,2020-12-27,453,active
269,2020-12-27,148,active
270,2020-12-27,756,inactive
271,2020-12-27,457,active
272,2020-12-27,543,inactive
273,2020-12-27,538,active
274,2020-12-27,738,inactive
275,2020-12-27,503,inactive
276,2020-12-27,497,inactive
277,2020-12-27,424,active
278,2020-12-27,110,active
279,2020-12-27,412,inactive
280,2020-12-27,691,active
281,2020-12-27,1012,active
282,2020-12-27,148,inactive
283,2020-12-27,481,active
284,2020-12-27,584,active
285,2020-12-27,986,active
286,2020-12-27,964,inactive
287,2020-12-27,983,inactive
288,2020-12-27,207,inactive
289,2020-12-27,687,inactive
290,2020-12-27,633,active
291,2020-12-27,142,active
292,2020-12-27,950,inactive
293,2020-12-27,245,active
294,2020-12-27,400,active
295,2020-12-27,686,inactive
296,2020-12-27,534,inactive
297,2020-12-27,572,inactive
298,2020-12-27,323,active
299,2020-12-27,820,active
300,2020-12-27,704,inactive
301,2020-12-27,630,inactive
302,2020-12-27,516,inactive
303,2020-12-27,287,active
304,2020-12-27,204,inactive
305,2020-12-27,665,active
306,2020-12-27,107,inactive
307,2020-12-27,902,active
308,2020-12-27,489,inactive
309,2020-12-27,571,active
310,2020-12-27,894,active
311,2020-12-27,523,inactive
312,2020-12-27,776,active
313,2020-12-27,347,active
314,2020-12-27,767,active
315,2020-12-27,335,inactive
316,2020-12-27,188,active
317,2020-12-27,320,active
318,2020-12-27,857,inactive
319,2020-12-27,110,inactive
320,2020-12-27,231,inactive
321,2020-12-27,274,inactive
322,2020-12-27,451,inactive
323,2020-12-27,389,inactive
324,2020-12-27,453,active
325,2020-12-27,946,active
326,2020-12-27,710,active
327,2020-12-27,946,inactive
328,2020-12-27,735,active
329,2020-12-27,495,active
330,2020-12-27,875,active
331,2020-12-27,568,active
332,2020-12-27,372,active
333,2020-12-27,166,active
334,2020-12-27,801,inactive
335,2020-12-27,350,active
336,2020-12-27,864,active
337,2020-12-27,376,inactive
338,2020-12-27,920,active
339,2020-12-27,135,inactive
340,2020-12-27,524,inactive
341,2020-12-27,812,inactive
342,2020-12-27,142,active
343,2020-12-27,870,active
344,2020-12-27,794,inactive
345,2020-12-27,979,inactive
346,2020-12-27,378,inactive
347,2020-12-27,550,active
348,2020-12-27,466,active
349,2020-12-27,836,inactive
350,2020-12-27,303,inactive
351,2020-12-27,931,inactive
352,2020-12-27,638,inactive
353,2020-12-27,788,active
354,2020-12-27,626,active
355,2020-12-27,611,active
356,2020-12-27,547,inactive
357,2020-12-27,353,inactive
358,2020-12-27,263,active
359,2020-12-27,504,inactive
360,2020-12-27,802,inactive
361,2020-12-27,733,active
362,2020-12-27,700,active
363,2020-12-27,222,inactive
364,2020-12-27,610,inactive
365,2020-12-27,584,inactive
366,2020-12-27,541,active
367,2020-12-27,800,active
368,2020-12-27,142,active
369,2020-12-27,939,active
370,2020-12-27,986,active
371,2020-12-27,655,inactive
372,2020-12-27,897,inactive
373,2020-12-27,668,active
374,2020-12-27,576,active
375,2020-12-27,343,active
376,2020-12-27,914,active
377,2020-12-27,316,active
378,2020-12-27,388,active
379,2020-12-27,630,inactive
380,2020-12-27,287,inactive
381,2020-12-27,216,active
382,2020-12-27,191,inactive
383,2020-12-27,489,active
384,2020-12-27,107,inactive
385,2020-12-27,371,inactive
386,2020-12-27,516,active
387,2020-12-27,522,inactive
388,2020-12-27,496,inactive
389,2020-12-27,262,active
390,2020-12-27,929,inactive
391,2020-12-27,415,active
392,2020-12-27,791,inactive
393,2020-12-27,836,inactive
394,2020-12-27,620,inactive
