item_id,titulo,precio,status,category_id,seller_id
1,Motorola Moto G24 Power,445,inactive,1,9527
2,Xiaomi Redmi Note 13 Pro,682,inactive,1,8190
3,HP 255 G10,498,active,2,1860
4,iPhone 17 Pro Max,938,active,1,6550
5,Lenovo Ideapad Slim 3,238,active,2,3853
6,iPhone 16 Pro,201,active,1,7465
7, Smartchef Pe-ce5002 Automática Expreso P1,267,active,3,3853
8,Dolce Gusto Piccolo XS,550,active,3,3120
9,Peabody Smartchef Pe-ct4207,728,active,3,9822
10,Xiaomi Redmi Note 13 Pro,344,inactive,1,4480
11,Samsung Galaxy A15,744,inactive,1,7553
12,Xiaomi Redmi Note 13 Pro,489,inactive,1,9596
13,iPhone 17 Pro Max,967,active,1,5569
14,Xiaomi Redmi Note 13 Pro,701,inactive,1,6253
15,Peabody Smartchef Pe-ct4207,593,active,3,9403
16,iPhone 17 Pro Max,477,active,1,8048
17,Lenovo Ideapad Slim 3,719,active,2,7318
18,Motorola Moto G24 Power,908,active,1,3422
19, Smartchef Pe-ce5002 Automática Expreso P1,121,inactive,3,4643
20,iPhone 17 Pro Max,176,active,1,4539
21,iPhone 17 Pro Max,936,active,1,1892
22,Xiaomi Redmi Note 13 Pro,211,inactive,1,6889
23, Smartchef Pe-ce5002 Automática Expreso P1,453,inactive,3,8687
24,iPhone 16 Pro,182,inactive,1,5643
25,Nespresso Essenza Mini D,818,active,3,698
26, Smartchef Pe-ce5002 Automática Expreso P1,863,active,3,4129
27, Smartchef Pe-ce5002 Automática Expreso P1,962,active,3,4838
28,Lenovo Ideapad Slim 3,274,inactive,2,8823
29,Dolce Gusto Piccolo XS,301,inactive,3,4799
30,Nespresso Essenza Mini D,357,inactive,3,9171
31,Lenovo Ideapad Slim 3,281,inactive,2,1844
32,Lenovo Ideapad Slim 3,120,inactive,2,5643
33,MacBook Pro 13,957,active,2,348
34,HP 255 G10,231,inactive,2,1559
35,Samsung Galaxy A15,860,inactive,1,3485
36,Samsung Galaxy Np750 Book3,939,active,2,9112
37,Dolce Gusto Genio S,370,inactive,3,6784
38,Lenovo Ideapad Slim 3,632,inactive,2,7650
39,iPhone 17 Pro Max,999,inactive,1,1555
40,iPhone 16 Pro,845,active,1,8066
41,Lenovo Ideapad Slim 3,830,active,2,8603
42,Motorola Moto G24 Power,376,inactive,1,5818
43,Lenovo Ideapad Slim 3,283,inactive,2,8879
44,Lenovo Ideapad Slim 3,657,active,2,9403
45,Lenovo Ideapad Slim 3,313,inactive,2,7282
46,Peabody Smartchef Pe-ct4207,352,active,3,9293
47, Smartchef Pe-ce5002 Automática Expreso P1,945,inactive,3,8269
48,Lenovo Ideapad Slim 3,166,inactive,2,3813
49,Dolce Gusto Piccolo XS,780,inactive,3,1557
50,Lenovo Ideapad Slim 3,929,inactive,2,9777
51,Nespresso Essenza Mini D,715,active,3,698
52,Nespresso Essenza Mini D,773,active,3,5342
53,Lenovo Ideapad Slim 3,731,inactive,2,3543
54,iPhone 17 Pro Max,475,active,1,806
55, Smartchef Pe-ce5002 Automática Expreso P1,797,active,3,9155
56, Smartchef Pe-ce5002 Automática Expreso P1,268,inactive,3,1976
57,Nespresso Essenza Mini D,649,inactive,3,6192
58,Peabody Smartchef Pe-ct4207,107,active,3,9171
59,Motorola Moto G24 Power,760,inactive,1,1019
60,Peabody Smartchef Pe-ct4207,536,active,3,300
61,Lenovo Ideapad Slim 3,311,inactive,2,9920
62,Xiaomi Redmi Note 13 Pro,564,active,1,1646
63,Motorola Moto G24 Power,338,active,1,6744
64,Nespresso Essenza Mini D,849,inactive,3,3617
65,Peabody Smartchef Pe-ct4207,145,active,3,4767
66,Nespresso Essenza Mini D,971,active,3,271
67,Lenovo Ideapad Slim 3,996,inactive,2,3138
68,Dolce Gusto Genio S,755,active,3,1846
69,Lenovo Ideapad Slim 3,538,inactive,2,698
70,Xiaomi Redmi Note 13 Pro,486,active,1,160
71,iPhone 16 Pro,258,active,1,3124
72,Nespresso Essenza Mini D,330,inactive,3,6188
73,Nespresso Essenza Mini D,513,active,3,4966
74,Samsung Galaxy A15,253,inactive,1,6809
75,Xiaomi Redmi Note 13 Pro,137,inactive,1,230
76,Peabody Smartchef Pe-ct4207,822,inactive,3,2945
77,HP 255 G10,133,inactive,2,4044
78,Lenovo Ideapad Slim 3,908,active,2,5051
79,iPhone 16 Pro,952,active,1,7694
80,MacBook Pro 13,664,inactive,2,689
81,Motorola Moto G24 Power,386,active,1,3087
82,HP 255 G10,370,inactive,2,7147
83,Samsung Galaxy Np750 Book3,307,active,2,6925
84,Peabody Smartchef Pe-ct4207,873,active,3,7594
85,Lenovo Ideapad Slim 3,627,active,2,6611
86,Dolce Gusto Piccolo XS,998,active,3,6688
87, Smartchef Pe-ce5002 Automática Expreso P1,548,active,3,2301
88,HP 255 G10,918,active,2,481
89,Lenovo Ideapad Slim 3,493,active,2,3105
90,iPhone 17 Pro Max,169,inactive,1,1585
91,Samsung Galaxy Np750 Book3,858,active,2,7784
92,Motorola Moto G24 Power,601,active,1,2707
93,iPhone 16 Pro,456,inactive,1,9155
94, Smartchef Pe-ce5002 Automática Expreso P1,269,inactive,3,6514
95,Lenovo Ideapad Slim 3,511,active,2,6149
96,Samsung Galaxy A15,545,inactive,1,3511
97,Nespresso Essenza Mini D,787,active,3,5129
