order_id,item_id,seller_id,buyer_id,cantidad,precio,order_date
1,1384,698,6927,1,139,2020-01-19
2,553,6541,4927,1,776,2020-01-29
3,582,3233,1182,3,641,2020-04-29
4,308,5010,8195,1,487,2020-03-14
5,36,9112,3884,2,939,2020-01-27
6,1231,8220,8028,1,665,2020-05-31
7,828,4940,7202,4,680,2020-01-24
8,1126,9556,9708,2,124,2020-10-13
9,612,7465,3414,2,472,2020-03-20
10,627,5274,2331,4,622,2020-02-16
11,821,6243,5175,1,555,2020-12-14
12,1338,3423,9911,4,737,2020-06-02
13,1157,9112,6130,2,943,2020-08-04
14,1132,2777,4515,4,365,2020-12-18
15,178,3651,8999,4,977,2020-11-28
16,1190,4763,8472,3,584,2020-01-25
17,523,9906,2157,3,215,2020-12-16
18,1165,3485,5036,4,550,2020-06-03
19,1322,5077,4256,1,445,2020-04-02
20,104,6761,3282,2,243,2020-01-30
21,1281,8878,6768,3,121,2020-05-10
22,421,6863,6307,3,146,2020-06-25
23,1093,7169,8356,1,969,2020-08-11
24,1232,6783,1718,4,189,2020-12-25
25,1451,4156,2859,3,238,2020-06-19
26,1376,3616,8094,3,539,2020-07-24
27,454,960,6409,1,662,2020-01-22
28,622,6523,1760,1,800,2020-01-11
29,1280,1646,5839,3,379,2020-11-22
30,336,4771,838,1,887,2020-02-13
31,270,7765,1343,4,734,2020-01-21
32,3,1860,7000,3,498,2020-05-19
33,365,4539,2802,4,584,2020-03-02
34,422,4920,3502,2,493,2020-01-26
35,1117,5939,989,2,385,2020-04-12
36,126,7784,7877,4,627,2020-05-27
37,1498,1358,3260,4,860,2020-05-10
38,609,1019,5930,2,445,2020-09-29
39,1464,7360,3912,4,864,2020-07-13
40,1355,4212,6458,2,872,2020-05-22
41,925,7740,1890,3,604,2020-02-10
42,443,4910,2899,4,311,2020-02-09
43,889,18,6148,4,511,2020-03-28
44,191,4369,9464,1,321,2020-01-23
45,1314,1094,7108,1,284,2020-06-22
46,375,9556,2237,1,354,2020-05-26
47,1301,8190,7056,1,232,2020-02-10
48,1089,4794,5609,1,419,2020-01-18
49,53,3543,3296,4,731,2020-09-15
50,1017,6611,2053,1,736,2020-05-06
51,564,7219,2931,2,877,2020-11-23
52,342,2120,5504,3,142,2020-11-07
53,105,6633,7678,1,468,2020-08-09
54,224,8904,2318,4,679,2020-09-03
55,582,3233,9154,2,641,2020-01-15
56,766,4506,9445,4,469,2020-11-14
57,1076,2007,4917,4,761,2020-07-08
58,825,2211,6174,3,502,2020-12-28
59,1153,2120,7321,2,928,2020-03-01
60,1095,6011,9588,4,711,2020-07-13
61,631,640,5714,4,645,2020-06-15
62,285,6541,1784,3,958,2020-04-03
63,708,6873,3473,3,786,2020-12-15
64,1485,5601,897,2,595,2020-09-25
65,1264,6550,4800,1,142,2020-03-16
66,47,8269,3578,1,945,2020-07-16
67,1025,7262,7555,4,534,2020-01-11
68,1490,5261,4705,1,266,2020-10-02
69,82,7147,6062,2,370,2020-10-13
70,438,2200,9024,3,785,2020-12-29
71,1282,3233,2077,4,251,2020-10-12
72,634,9843,2002,3,228,2020-11-23
73,544,8804,602,1,891,2020-08-23
74,730,9777,9326,1,755,2020-07-27
75,272,7270,7665,1,570,2020-06-09
76,896,5983,742,3,331,2020-10-21
77,1307,5200,130,1,523,2020-11-22
78,653,7784,9521,2,557,2020-08-15
79,1480,9276,4238,1,751,2020-05-25
80,49,1557,2058,4,780,2020-06-16
81,997,6550,8964,4,718,2020-02-14
82,464,9174,5235,1,770,2020-11-06
83,137,6149,5519,2,968,2020-07-23
84,101,4267,1349,4,830,2020-07-13
85,334,1916,8697,2,815,2020-07-29
86,973,300,5318,4,809,2020-06-27
87,652,5274,705,4,380,2020-05-21
88,217,4558,4466,1,813,2020-03-26
89,583,2830,8114,4,230,2020-09-21
90,1183,7375,2585,1,989,2020-01-09
91,830,1505,5613,1,513,2020-09-04
92,1486,6869,7299,3,133,2020-04-13
93,435,622,257,2,103,2020-06-12
94,1197,3120,2348,1,451,2020-03-22
95,844,648,3514,4,458,2020-05-24
96,159,2475,792,3,718,2020-01-29
97,976,806,7018,4,395,2020-08-05
98,511,5119,9471,4,784,2020-08-10
99,178,3651,3785,1,977,2020-03-04
100,893,2640,7340,4,150,2020-10-02
101,633,2813,2344,1,433,2020-07-13
102,1161,8096,8923,4,811,2020-11-24
103,650,4480,1860,2,664,2020-10-26
104,928,942,9881,2,219,2020-05-27
105,1253,3511,8394,1,216,2020-11-09
106,506,6869,5908,3,899,2020-09-05
107,747,8518,4287,4,402,2020-06-11
108,348,640,9920,4,480,2020-05-29
109,857,576,2456,3,523,2020-11-16
110,138,7489,3591,4,854,2020-01-01
111,866,6382,1033,2,768,2020-01-20
112,788,7501,8791,3,690,2020-06-04
113,584,9558,6984,2,288,2020-03-21
114,627,5274,2357,4,622,2020-05-14
115,595,8685,4310,1,102,2020-05-17
116,287,2134,5307,4,999,2020-05-09
117,821,6243,1298,2,555,2020-03-06
118,1487,3229,2387,3,854,2020-07-23
119,170,8048,9091,3,143,2020-03-11
120,830,1505,663,4,513,2020-01-08
121,499,1063,3642,3,606,2020-05-31
122,35,3485,6057,1,860,2020-11-18
123,761,1802,4708,2,213,2020-02-19
124,367,9906,1337,2,796,2020-10-07
125,1469,8939,5057,1,216,2020-11-29
126,989,9313,6693,1,266,2020-12-22
127,814,5204,3874,4,643,2020-07-01
128,432,5504,9648,1,232,2020-02-16
129,1111,8623,6333,2,624,2020-02-27
130,424,1844,8836,4,986,2020-06-16
131,910,8685,6006,4,728,2020-12-10
132,312,4628,5705,2,759,2020-03-16
133,620,9920,299,3,872,2020-06-25
134,510,6479,2770,3,104,2020-07-10
135,526,9573,7088,1,382,2020-01-07
136,449,8918,4901,3,711,2020-11-14
137,700,9261,5506,1,992,2020-10-09
138,918,648,3634,2,516,2020-07-31
139,1117,5939,6875,4,385,2020-09-15
140,1211,2063,1292,2,709,2020-09-20
141,201,2416,1027,2,925,2020-12-16
142,361,8266,9539,3,719,2020-06-01
143,324,1390,3981,3,444,2020-06-20
144,767,9322,5926,1,639,2020-05-14
145,516,1892,253,1,441,2020-02-28
146,400,6382,6389,2,362,2020-02-06
147,1276,7365,4816,4,198,2020-08-30
148,1230,7240,9697,2,288,2020-07-27
149,639,2811,4022,4,616,2020-05-09
150,968,6744,9318,3,573,2020-10-11
151,1199,1959,3911,3,481,2020-04-05
152,940,5057,8840,4,782,2020-08-06
153,1419,7710,2117,3,699,2020-11-13
154,1273,9570,5924,4,113,2020-02-18
155,519,1321,9561,3,972,2020-09-10
156,472,9174,1071,2,595,2020-11-29
157,836,8093,6034,1,138,2020-03-15
158,643,4129,5858,3,528,2020-01-01
159,1412,6688,1763,2,493,2020-02-28
160,1474,2334,2392,1,755,2020-05-29
161,95,6149,938,1,511,2020-10-01
162,1412,6688,913,3,493,2020-07-26
163,1409,3285,9459,2,997,2020-02-10
164,1279,4771,2960,2,464,2020-10-12
165,1214,5129,1832,4,328,2020-03-21
166,670,1063,537,1,409,2020-03-14
167,1497,5017,490,4,294,2020-03-06
168,142,7262,287,3,531,2020-10-03
169,416,5626,4454,3,427,2020-01-16
170,1391,6073,3714,1,108,2020-08-02
171,1448,9174,3358,4,415,2020-06-08
172,840,5746,9320,2,267,2020-12-06
173,891,160,4136,3,166,2020-06-25
174,1435,1092,6623,1,997,2020-12-24
175,1000,5592,8110,2,642,2020-10-21
176,1080,6815,4616,4,470,2020-08-03
177,237,7828,6741,4,597,2020-01-12
178,395,392,7699,2,435,2020-07-04
179,498,8093,4090,2,312,2020-05-27
